Material,B1,B2,B3,C1,C2,C3,Equivalent,Equation,T_file,T_length_m,Fresnel_Reflections
FS,6.84E-01,4.20E-01,5.85E-01,4.60E-03,1.34E-02,6.45E+01,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-BAF10,1.37E+00,1.09E-01,1.02E+00,8.83E-03,4.39E-02,1.14E+02,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-BAF3,1.35E+00,1.08E-01,1.13E+00,8.71E-03,4.78E-02,1.13E+02,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-BAF4,1.42E+00,1.03E-01,1.14E+00,9.42E-03,5.31E-02,1.10E+02,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-BALF4,1.31E+00,1.42E-01,9.65E-01,7.97E-03,3.31E-02,1.09E+02,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-BALF5,1.28E+00,7.19E-02,1.05E+00,8.26E-03,4.42E-02,1.07E+02,,Schott,BK7_Transmission_1cm.txt,0.01,2
H-ZBaF4,2.69E+00,-9.84E-03,2.57E-02,8.44E-04,-1.66E-05,6.71E-06,N-BASF2,CDGM,BK7_Transmission_1cm.txt,0.01,2
N-BASF2,1.54E+00,1.57E-01,1.30E+00,1.08E-02,5.62E-02,1.31E+02,H-ZBaF4,Schott,BK7_Transmission_1cm.txt,0.01,2
N-BASF64,1.66E+00,1.71E-01,1.34E+00,1.04E-02,4.99E-02,1.19E+02,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-BK7,1.04E+00,2.32E-01,1.01E+00,6.00E-03,2.00E-02,1.04E+02,H-K9L,Schott,BK7_Transmission_1cm.txt,0.01,2
N-F2,1.40E+00,1.59E-01,1.27E+00,9.96E-03,5.47E-02,1.19E+02,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-LAF2,1.81E+00,1.57E-01,1.09E+00,1.02E-02,4.42E-02,1.01E+02,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-LAF21,1.87E+00,2.51E-01,1.22E+00,9.33E-03,3.46E-02,8.32E+01,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-LAF34,1.76E+00,3.14E-01,1.19E+00,8.73E-03,2.93E-02,8.52E+01,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-LAF7,1.74E+00,2.27E-01,1.33E+00,1.08E-02,5.39E-02,1.06E+02,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-LAK34,1.27E+00,6.66E-01,1.12E+00,5.89E-03,1.98E-02,7.89E+01,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-LASF31A,1.96E+00,4.75E-01,1.48E+00,9.82E-03,3.45E-02,1.11E+02,H-ZLaF68,Schott,BK7_Transmission_1cm.txt,0.01,2
N-LASF44,1.79E+00,3.87E-01,1.31E+00,8.73E-03,3.08E-02,9.28E+01,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-LASF46,2.18E+00,2.99E-01,1.62E+00,1.26E-02,5.65E-02,1.06E+02,,Schott,BK7_Transmission_1cm.txt,0.01,2
H-ZF3,2.86E+00,-1.77E-02,2.60E-02,3.44E-03,-3.19E-04,2.68E-05,N-SF1,CDGM,BK7_Transmission_1cm.txt,0.01,2
H-ZF3_2,2.04E-01,6.21E-02,1.64E+00,1.27E-02,1.39E+00,1.28E+02,N-SF1,Schott,BK7_Transmission_1cm.txt,0.01,2
H-ZF3_3,1.64E+00,2.04E-01,1.39E+00,1.27E-02,6.21E-02,1.28E+02,N-SF1,Schott,BK7_Transmission_1cm.txt,0.01,2
N-SF1,1.61E+00,2.38E-01,1.52E+00,1.20E-02,5.91E-02,1.36E+02,H-ZF3,Schott,BK7_Transmission_1cm.txt,0.01,2
N-SF10,1.62E+00,2.56E-01,1.64E+00,1.22E-02,5.96E-02,1.47E+02,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-SF11,1.74E+00,3.14E-01,1.90E+00,1.32E-02,6.23E-02,1.55E+02,H-ZF13,Schott,BK7_Transmission_1cm.txt,0.01,2
N-SF14,1.69E+00,2.89E-01,1.70E+00,1.31E-02,6.14E-02,1.50E+02,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-SF2,1.47E+00,1.64E-01,1.37E+00,1.09E-02,5.86E-02,1.27E+02,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-SF4,1.68E+00,2.83E-01,1.64E+00,1.27E-02,6.02E-02,1.46E+02,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-SF5,1.52E+00,1.87E-01,1.43E+00,1.13E-02,5.89E-02,1.29E+02,"	H-ZF2",Schott,BK7_Transmission_1cm.txt,0.01,2
N-SF6,1.78E+00,3.38E-01,2.09E+00,1.34E-02,6.18E-02,1.74E+02,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-SF8,1.55E+00,2.10E-01,1.46E+00,1.14E-02,5.83E-02,1.33E+02,H-ZF10,Schott,BK7_Transmission_1cm.txt,0.01,2
N-SK10,1.35E+00,2.39E-01,9.67E-01,7.36E-03,2.54E-02,1.04E+02,,Schott,BK7_Transmission_1cm.txt,0.01,2
Sapphire ,1.02E+00,1.06E+00,5.28E+00,3.78E-03,1.23E-02,3.21E+02,,Schott,BK7_Transmission_1cm.txt,0.01,2
YAG,2.28E+00,3.28E+00,0.00E+00,1.19E-02,2.83E+02,0.00E+00,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-SF66,2.02E+00,4.70E-01,2.60E+00,1.47E-02,6.93E-02,1.62E+02,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-LAK14,1.51E+00,3.19E-01,1.14E+00,7.46E-03,2.42E-02,8.10E+01,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-LAK22,1.14E+00,5.35E-01,1.04E+00,5.86E-03,1.99E-02,1.01E+02,,Schott,BK7_Transmission_1cm.txt,0.01,2
N-LASF9,2.00E+00,2.99E-01,1.81E+00,1.21E-02,5.39E-02,1.57E+02,,Schott,BK7_Transmission_1cm.txt,0.01,2
H-ZLaF68C,3.44E+00,-1.16E-02,3.71E-02,3.31E-04,7.34E-05,-1.36E-06,,CDGM,BK7_Transmission_1cm.txt,0.01,2
PPLN,2.98E+00,5.98E-01,8.95E+00,2.05E-02,6.66E-02,4.16E+02,,Schott,LN_Transmission_1mm.txt,0.001,2
LN_e,2.98E+00,5.98E-01,8.95E+00,2.05E-02,6.66E-02,4.16E+02,,Schott,LN_Transmission_1mm.txt,0.001,2
air,1.49E-04,4.18E-04,0.00E+00,1.94E-05,7.43E-03,1.00E+00,,Schott,Air_Transmission_1cm.txt,0.01,2
